Device,Completed,Start,End,PG0Dis,PG0Shown,PG0Submit,PG1PsnUse,PG1WdAuth,PG1Trn,PG1Other,PG1Submit,PG2Resp,PG2Submit,PG2Resp,PG3Submit,PG4Dtr0_6,PG4Psv7_8,PG4Prm9_10,PG4AllResp,PG4Submit,PG5_1RRPQ,PG5_1Order,PG5_1Time,PG5_2BNUI,PG5_2Order,PG5_2Time,PG5_3HDS,PG5_3Order,PG5_3Time,PG5_4VGP,PG5_4Order,PG5_4Time,PG5_5PHR,PG5_5Order,PG5_5Time,PG5_6SSYOP,PG5_6Order,PG5_6Time,PG5_7NDYP,PG5_7Order,PG5_7Time,PG5_8CP,PG5_8Order,PG5_8Time,PG5_9FRP,PG5_9Order,PG5_9Time,PG5_10RPA,PG5_10Order,PG5_10Time,PG5_11NSG,PG5_11Order,PG5_11Time,PG5_12NWG,PG5_12Order,PG5_12Time,PG5_13NFG,PG5_13Order,PG5_13Time,PG5Submit,PG6Resp,PG6Submit,PG7R,PG7C/C++,PG7Java,PG7Python,PG7Javascript,PG7Go,PG7C#,PG7Other,PG7Submit,PG8Resp,PG8Submit,PG9Resp,PG9Submit,PG10Resp,PG10Submit,PG11Resp,PG11Submit,PG12Resp,PG12Submit
Phone,FALSE,2018-10-11 13:14:18,,,,2018-10-11 13:14:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:14:25,2018-10-11 13:17:07,,,2018-10-11 13:14:28,For personal work and/or research use,,,,2018-10-11 13:14:37,No,2018-10-11 13:14:53,Chose the package to be compatible with other packages in my project,2018-10-11 13:15:13,,,10,10,2018-10-11 13:15:35,Medium Priority,3,2018-10-11 13:16:14,,,,,,,,,,,,,Not a Priority,5,2018-10-11 13:16:20,,,,High Priority,2,2018-10-11 13:15:59,Essential,1,2018-10-11 13:15:57,,,,,,,,,,Low Priority,4,2018-10-11 13:16:17,2018-10-11 13:16:20,2 - 5 years,2018-10-11 13:16:29,R,,,,,,,,2018-10-11 13:16:34,PhD student,2018-10-11 13:16:44,1,2018-10-11 13:16:53,Not native - full working proficiency,2018-10-11 13:16:58,Female,2018-10-11 13:17:02,25 - 34,2018-10-11 13:17:06
PC,TRUE,2018-10-11 13:14:30,2018-10-11 13:17:35,,,2018-10-11 13:14:40,For personal work and/or research use,"For a wider audience, such as developers of other packages or other software",For a training / class that I took,,2018-10-11 13:14:56,Not sure,2018-10-11 13:15:43,I wanted to use many of the functions in the package.,2018-10-11 13:16:19,,,9,9,2018-10-11 13:16:23,Not a Priority,9,2018-10-11 13:16:52,Not a Priority,4,2018-10-11 13:16:45,Medium Priority,3,2018-10-11 13:16:44,Not a Priority,8,2018-10-11 13:16:50,Low Priority,5,2018-10-11 13:16:47,Essential,12,2018-10-11 13:16:58,Not a Priority,6,2018-10-11 13:16:48,Low Priority,13,2018-10-11 13:16:59,Essential,11,2018-10-11 13:16:56,Medium Priority,10,2018-10-11 13:16:53,Not a Priority,1,2018-10-11 13:16:40,Not a Priority,7,2018-10-11 13:16:49,Not a Priority,2,2018-10-11 13:16:41,2018-10-11 13:16:59,6 - 8 years,2018-10-11 13:17:04,R,,,,,,,,2018-10-11 13:17:08,Graduate Student,2018-10-11 13:17:15,4 - 6,2018-10-11 13:17:21,Native,2018-10-11 13:17:27,Female,2018-10-11 13:17:30,18 - 24,2018-10-11 13:17:34
PC,TRUE,2018-10-11 13:14:36,2018-10-11 13:33:40,,,2018-10-11 13:14:43,For personal work and/or research use,,,,2018-10-11 13:15:03,No,2018-10-11 13:31:57,I saw a recommendation for the package,2018-10-11 13:32:26,,,10,10,2018-10-11 13:32:31,Essential,2,2018-10-11 13:32:57,,,,High Priority,1,2018-10-11 13:32:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-11 13:32:57,2 - 5 years,2018-10-11 13:33:02,R,,,Python,,,,,2018-10-11 13:33:11,Data Scientist,2018-10-11 13:33:17,4 - 6,2018-10-11 13:33:23,Not native - full working proficiency,2018-10-11 13:33:28,Male,2018-10-11 13:33:32,35 - 44,2018-10-11 13:33:39
Phone,FALSE,2018-10-11 13:14:44,,,,2018-10-11 13:15:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,FALSE,2018-10-11 13:14:45,,,,2018-10-11 13:14:51,For personal work and/or research use,,,,2018-10-11 13:15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:14:55,2018-10-11 13:17:53,,,2018-10-11 13:14:59,For personal work and/or research use,,,,2018-10-11 13:15:09,No,2018-10-11 13:15:23,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:15:40,,,10,10,2018-10-11 13:15:49,Not a Priority,10,2018-10-11 13:16:48,Not a Priority,8,2018-10-11 13:16:44,Not a Priority,9,2018-10-11 13:16:46,Medium Priority,4,2018-10-11 13:16:30,,,,Not a Priority,2,2018-10-11 13:16:23,Not a Priority,6,2018-10-11 13:16:36,Essential,11,2018-10-11 13:16:52,High Priority,7,2018-10-11 13:16:41,High Priority,1,2018-10-11 13:16:17,Not a Priority,3,2018-10-11 13:16:27,Not a Priority,5,2018-10-11 13:16:34,Not a Priority,12,2018-10-11 13:16:54,2018-10-11 13:16:57,2 - 5 years,2018-10-11 13:17:07,R,,,,,,,,2018-10-11 13:17:16,Data Scientist,2018-10-11 13:17:22,4 - 6,2018-10-11 13:17:30,Not native - sufficient working proficiency,2018-10-11 13:17:42,Male,2018-10-11 13:17:47,35 - 44,2018-10-11 13:17:52
PC,FALSE,2018-10-11 13:15:02,,,,2018-10-11 13:15:10,,,,,2018-10-11 13:15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,FALSE,2018-10-11 13:15:08,,,,2018-10-11 13:15:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:15:13,2018-10-11 13:19:10,,,2018-10-11 13:15:22,For personal work and/or research use,,,,2018-10-11 13:15:40,Yes,2018-10-11 13:16:45,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:17:07,,7,,7,2018-10-11 13:17:16,Medium Priority,6,2018-10-11 13:18:12,,,,,,,High Priority,2,2018-10-11 13:17:36,Medium Priority,5,2018-10-11 13:18:08,Not a Priority,8,2018-10-11 13:18:17,,,,High Priority,4,2018-10-11 13:18:04,High Priority,3,2018-10-11 13:17:58,High Priority,1,2018-10-11 13:17:32,,,,,,,,,,2018-10-11 13:18:18,6 - 8 years,2018-10-11 13:18:31,R,C/C++,,,,,,,2018-10-11 13:18:42,Data Scientist,2018-10-11 13:18:46,4 - 6,2018-10-11 13:18:55,Native,2018-10-11 13:19:00,Male,2018-10-11 13:19:04,35 - 44,2018-10-11 13:19:09
PC,TRUE,2018-10-11 13:15:16,2018-10-11 13:18:11,,,2018-10-11 13:15:21,For personal work and/or research use,,,,2018-10-11 13:15:35,No,2018-10-11 13:15:49,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:16:06,,,10,10,2018-10-11 13:16:13,,,,Medium Priority,1,2018-10-11 13:16:41,Medium Priority,3,2018-10-11 13:16:56,High Priority,2,2018-10-11 13:16:50,,,,,,,,,,Medium Priority,4,2018-10-11 13:17:00,,,,,,,,,,,,,,,,2018-10-11 13:17:14,6 - 8 years,2018-10-11 13:17:23,R,,,Python,,,,,2018-10-11 13:17:32,Biologist,2018-10-11 13:17:44,4 - 6,2018-10-11 13:17:54,Native,2018-10-11 13:18:00,Male,2018-10-11 13:18:04,25 - 34,2018-10-11 13:18:09
PC,FALSE,2018-10-11 13:15:17,,,,2018-10-11 13:15:37,,,,Teaching others how to use R,2018-10-11 13:15:54,Not sure,2018-10-11 13:16:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,FALSE,2018-10-11 13:15:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:15:20,2018-10-11 13:17:55,,,2018-10-11 13:15:34,For personal work and/or research use,,For a training / class that I took,,2018-10-11 13:15:40,No,2018-10-11 13:15:47,Most familiar with Tidy,2018-10-11 13:16:05,,8,,8,2018-10-11 13:16:13,,,,,,,,,,,,,Essential,4,2018-10-11 13:16:36,Essential,2,2018-10-11 13:16:33,,,,Essential,3,2018-10-11 13:16:34,Essential,1,2018-10-11 13:16:28,,,,,,,,,,,,,2018-10-11 13:16:37,Less than 2 years,2018-10-11 13:16:44,R,C/C++,,Python,,,,,2018-10-11 13:16:53,Mathematical Hobbyist,2018-10-11 13:17:09,4 - 6,2018-10-11 13:17:42,Native,2018-10-11 13:17:47,Male,2018-10-11 13:17:51,35 - 44,2018-10-11 13:17:54
PC,FALSE,2018-10-11 13:15:23,,,,2018-10-11 13:15:26,For personal work and/or research use,,,,2018-10-11 13:15:36,Yes,2018-10-11 13:15:45,"The core ""data.frame"" object lacked functionality that I needed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:15:25,2018-10-11 13:21:39,,,2018-10-11 13:17:10,For personal work and/or research use,,,,2018-10-11 13:17:30,Yes,2018-10-11 13:17:57,try new feature,2018-10-11 13:18:42,,8,,8,2018-10-11 13:18:50,High Priority,14,2018-10-11 13:20:16,Medium Priority,7,2018-10-11 13:19:51,Medium Priority,15,2018-10-11 13:20:20,Low Priority,13,2018-10-11 13:20:13,Low Priority,11,2018-10-11 13:20:05,High Priority,10,2018-10-11 13:20:00,Medium Priority,12,2018-10-11 13:20:08,High Priority,8,2018-10-11 13:19:54,Medium Priority,4,2018-10-11 13:19:42,Low Priority,1,2018-10-11 13:19:32,Not a Priority,5,2018-10-11 13:19:44,Not a Priority,3,2018-10-11 13:19:37,Low Priority,9,2018-10-11 13:19:57,2018-10-11 13:20:20,Less than 2 years,2018-10-11 13:20:31,R,,,,,,,,2018-10-11 13:20:38,master,2018-10-11 13:20:52,2 - 3,2018-10-11 13:21:01,Not native - passable,2018-10-11 13:21:23,Male,2018-10-11 13:21:32,18 - 24,2018-10-11 13:21:38
PC,TRUE,2018-10-11 13:15:33,2018-10-11 13:34:12,,,2018-10-11 13:15:42,,Tool for other researchers to analyse their data,,Other,2018-10-11 13:19:16,Yes,2018-10-11 13:24:50,"reproducibility, easier to remember and use",2018-10-11 13:29:55,,,10,10,2018-10-11 13:30:07,Not a Priority,13,2018-10-11 13:32:02,Not a Priority,9,2018-10-11 13:31:19,High Priority,5,2018-10-11 13:31:03,Medium Priority,8,2018-10-11 13:31:13,Not a Priority,10,2018-10-11 13:31:38,Low Priority,4,2018-10-11 13:30:41,Not a Priority,3,2018-10-11 13:30:35,Low Priority,1,2018-10-11 13:30:26,Essential,6,2018-10-11 13:31:04,Medium Priority,12,2018-10-11 13:31:51,Not a Priority,7,2018-10-11 13:31:08,Not a Priority,11,2018-10-11 13:31:40,Not a Priority,2,2018-10-11 13:30:30,2018-10-11 13:32:02,2 - 5 years,2018-10-11 13:32:37,VBA,,,,,,C#,Other,2018-10-11 13:32:57,researcher,2018-10-11 13:33:11,7 - 10,2018-10-11 13:33:50,Not native - full working proficiency,2018-10-11 13:34:00,Male,2018-10-11 13:34:05,35 - 44,2018-10-11 13:34:10
Phone,TRUE,2018-10-11 13:15:38,2018-10-11 13:22:37,,,2018-10-11 13:15:40,For personal work and/or research use,,,,2018-10-11 13:18:42,No,2018-10-11 13:18:56,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:19:34,,7,,7,2018-10-11 13:19:40,High Priority,12,2018-10-11 13:21:35,Medium Priority,6,2018-10-11 13:21:03,Medium Priority,2,2018-10-11 13:20:44,High Priority,13,2018-10-11 13:21:38,High Priority,1,2018-10-11 13:20:35,High Priority,8,2018-10-11 13:21:08,Not a Priority,9,2018-10-11 13:21:13,,,,Medium Priority,5,2018-10-11 13:21:01,Not a Priority,7,2018-10-11 13:21:05,Not a Priority,3,2018-10-11 13:20:47,Not a Priority,10,2018-10-11 13:21:30,Low Priority,4,2018-10-11 13:20:51,2018-10-11 13:21:40,2 - 5 years,2018-10-11 13:22:02,R,,,Python,,,,,2018-10-11 13:22:12,Data Scientist,2018-10-11 13:22:16,1,2018-10-11 13:22:24,Not native - sufficient working proficiency,2018-10-11 13:22:29,Female,2018-10-11 13:22:33,25 - 34,2018-10-11 13:22:36
Phone,TRUE,2018-10-11 13:15:39,2018-10-11 13:19:20,,,2018-10-11 13:15:43,,,For a training / class that I took,,2018-10-11 13:15:56,Not sure,2018-10-11 13:16:11,I saw a recommendation for the package,2018-10-11 13:16:41,6,,,6,2018-10-11 13:16:53,Low Priority,10,2018-10-11 13:18:05,Low Priority,5,2018-10-11 13:17:40,Essential,2,2018-10-11 13:17:21,Low Priority,4,2018-10-11 13:17:38,Essential,13,2018-10-11 13:18:16,High Priority,3,2018-10-11 13:17:31,Low Priority,9,2018-10-11 13:17:58,Low Priority,11,2018-10-11 13:18:13,Essential,1,2018-10-11 13:17:17,Low Priority,7,2018-10-11 13:17:47,,,,Low Priority,8,2018-10-11 13:17:52,Low Priority,6,2018-10-11 13:17:44,2018-10-11 13:18:17,Less than 2 years,2018-10-11 13:18:24,,,,Python,,,,,2018-10-11 13:18:35,Data Scientist,2018-10-11 13:18:48,More than 25,2018-10-11 13:19:00,Native,2018-10-11 13:19:07,Female,2018-10-11 13:19:12,35 - 44,2018-10-11 13:19:19
PC,FALSE,2018-10-11 13:15:44,,,,2018-10-11 13:15:47,For personal work and/or research use,,,,2018-10-11 13:16:14,Not sure,2018-10-11 13:16:31,Chose the package to be compatible with other packages in my project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC,TRUE,2018-10-11 13:15:51,2018-10-11 13:20:41,,,2018-10-11 13:15:55,,"For a wider audience, such as developers of other packages or other software",,,2018-10-11 13:16:06,Not sure,2018-10-11 13:16:49,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:17:17,,,10,10,2018-10-11 13:17:44,High Priority,7,2018-10-11 13:19:00,Low Priority,10,2018-10-11 13:19:21,Medium Priority,5,2018-10-11 13:18:39,High Priority,3,2018-10-11 13:18:30,High Priority,6,2018-10-11 13:18:47,Low Priority,12,2018-10-11 13:19:27,Not a Priority,14,2018-10-11 13:19:40,Medium Priority,4,2018-10-11 13:18:33,High Priority,1,2018-10-11 13:18:14,High Priority,2,2018-10-11 13:18:26,Low Priority,13,2018-10-11 13:19:32,Low Priority,11,2018-10-11 13:19:23,Not a Priority,9,2018-10-11 13:19:19,2018-10-11 13:19:42,2 - 5 years,2018-10-11 13:19:51,R,,,,,,,,2018-10-11 13:20:00,Post-doctoral researcher,2018-10-11 13:20:18,4 - 6,2018-10-11 13:20:26,Native,2018-10-11 13:20:31,Male,2018-10-11 13:20:35,25 - 34,2018-10-11 13:20:40
PC,TRUE,2018-10-11 13:15:52,2018-10-11 13:31:31,,,2018-10-11 13:16:22,For personal work and/or research use,,,,2018-10-11 13:16:32,No,2018-10-11 13:19:09,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:28:39,,,9,9,2018-10-11 13:28:48,High Priority,5,2018-10-11 13:29:18,Medium Priority,1,2018-10-11 13:29:02,High Priority,3,2018-10-11 13:29:09,Not a Priority,14,2018-10-11 13:29:49,Low Priority,17,2018-10-11 13:30:00,Low Priority,13,2018-10-11 13:29:43,Not a Priority,12,2018-10-11 13:29:36,Medium Priority,4,2018-10-11 13:29:13,High Priority,2,2018-10-11 13:29:06,Not a Priority,10,2018-10-11 13:29:33,Not a Priority,6,2018-10-11 13:29:31,Not a Priority,15,2018-10-11 13:29:50,Not a Priority,8,2018-10-11 13:29:32,2018-10-11 13:30:05,2 - 5 years,2018-10-11 13:30:18,R,,,,,,,,2018-10-11 13:30:24,Data Scientist,2018-10-11 13:30:48,4 - 6,2018-10-11 13:31:11,Native,2018-10-11 13:31:20,Male,2018-10-11 13:31:25,35 - 44,2018-10-11 13:31:30
PC,TRUE,2018-10-11 13:15:53,2018-10-11 13:41:05,,,2018-10-11 13:39:33,For personal work and/or research use,,For a training / class that I took,,2018-10-11 13:39:42,,2018-10-11 13:39:43,,2018-10-11 13:39:45,,,10,10,2018-10-11 13:40:08,,,,,,,,,,,,,High Priority,3,2018-10-11 13:40:31,,,,,,,,,,High Priority,2,2018-10-11 13:40:24,High Priority,1,2018-10-11 13:40:21,,,,,,,,,,2018-10-11 13:40:32,Less than 2 years,2018-10-11 13:40:39,R,,,,,,,,2018-10-11 13:40:42,Data Scientist,2018-10-11 13:40:47,1,2018-10-11 13:40:51,Native,2018-10-11 13:40:56,Male,2018-10-11 13:41:00,25 - 34,2018-10-11 13:41:03
PC,FALSE,2018-10-11 13:16:01,,,,2018-10-11 13:16:11,,,,Compute spatial clusters for display on the Falling Fruit map (https://fallingfruit.org),2018-10-11 13:17:33,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:16:04,2018-10-11 13:19:01,,,2018-10-11 13:16:08,For personal work and/or research use,,,,2018-10-11 13:16:18,Not sure,2018-10-11 13:16:25,Chose the package to be compatible with other packages in my project,2018-10-11 13:16:43,,7,,7,2018-10-11 13:16:53,Medium Priority,12,2018-10-11 13:17:48,Low Priority,14,2018-10-11 13:17:57,Low Priority,8,2018-10-11 13:17:37,Low Priority,7,2018-10-11 13:17:34,Low Priority,4,2018-10-11 13:17:23,High Priority,3,2018-10-11 13:17:18,Medium Priority,15,2018-10-11 13:18:02,Medium Priority,13,2018-10-11 13:17:52,Medium Priority,1,2018-10-11 13:17:12,Not a Priority,11,2018-10-11 13:17:45,Low Priority,5,2018-10-11 13:17:25,Low Priority,6,2018-10-11 13:17:27,Not a Priority,9,2018-10-11 13:17:39,2018-10-11 13:18:02,2 - 5 years,2018-10-11 13:18:11,R,,,,,,,,2018-10-11 13:18:20,Data Scientist,2018-10-11 13:18:23,7 - 10,2018-10-11 13:18:39,Not native - full working proficiency,2018-10-11 13:18:50,Prefer not to answer,2018-10-11 13:18:55,25 - 34,2018-10-11 13:19:00
PC,FALSE,2018-10-11 13:16:05,,,,2018-10-11 13:16:12,For personal work and/or research use,,,,2018-10-11 13:16:23,Not sure,2018-10-11 13:16:37,Don't remember.,2018-10-11 13:17:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone,TRUE,2018-10-11 13:16:11,2018-10-11 13:19:32,,,2018-10-11 13:16:21,For personal work and/or research use,,,,2018-10-11 13:16:44,Not sure,2018-10-11 13:17:13,"The core ""data.frame"" object lacked functionality that I needed",2018-10-11 13:17:39,,8,,8,2018-10-11 13:17:45,,,,,,,,,,,,,High Priority,1,2018-10-11 13:18:06,,,,,,,,,,High Priority,3,2018-10-11 13:18:27,,,,High Priority,2,2018-10-11 13:18:21,,,,,,,2018-10-11 13:18:28,2 - 5 years,2018-10-11 13:18:44,R,,,,,,,,2018-10-11 13:18:56,,2018-10-11 13:18:58,2 - 3,2018-10-11 13:19:09,Not native - full working proficiency,2018-10-11 13:19:21,Male,2018-10-11 13:19:26,25 - 34,2018-10-11 13:19:31
